Country,January,February,March,April,May,June,July,August,September
Sweden,0,14,4820,16767,17060,29263,9152,7303,8484
Switzerland,0,18,16587,12981,1276,852,3518,6945,11105
Syria,0,0,10,33,79,157,478,2008,1435
Taiwan,10,29,293,107,13,5,20,21,26
Tajikistan,0,0,0,15,3915,1970,1509,1174,1186
Tanzania,0,0,19,461,29,0,0,0,0
Thailand,19,23,1628,1303,127,90,139,107,152
Timor-Leste,0,0,1,23,0,0,0,3,1
Togo,0,0,34,82,326,208,291,459,384
Trinidad and Tobago,0,0,87,29,1,13,39,1590,2772
Tunisia,0,0,394,600,83,97,361,2268,14610
Turkey,0,0,13531,106673,43738,35964,30967,39260,48530
US,8,17,192084,884003,718092,834125,1921350,1462898,1200686
Uganda,0,0,44,39,334,472,265,1818,5157
Ukraine,0,0,645,9761,13266,21582,26150,52728,90314
United Arab Emirates,4,17,647,11817,22076,14110,11839,9725,23959
United Kingdom,2,59,38756,139956,78768,27677,19577,33290,117763
Uruguay,0,0,338,305,180,113,328,331,451
Uzbekistan,0,0,172,1867,1584,4880,15506,17884,14824
Vanuatu,0,0,0,0,0,0,0,0,0
Venezuela,0,0,135,198,1177,4322,12742,28154,28394
Vietnam,2,14,198,58,58,27,203,486,50
West Bank and Gaza,0,0,119,225,104,1980,9409,10892,17170
Western Sahara,0,0,0,6,3,1,0,0,0
Yemen,0,0,0,6,317,835,570,230,76
Zambia,0,0,35,71,951,537,4369,6134,2662
Zimbabwe,0,0,8,32,138,413,2578,3328,1341
Country,January,February,March,April,May,June,July,August,September
Afghanistan,0,1,173,1997,13034,16312,5158,1490,1103
Albania,0,0,243,530,364,1398,2741,4237,4136
Algeria,0,1,715,3290,5388,4513,16487,14100,7036
Andorra,0,0,376,369,19,91,70,251,874
Angola,0,0,7,20,59,198,864,1506,2318
Antigua and Barbuda,0,0,7,17,2,43,22,3,7
Argentina,0,0,1054,3374,12423,47679,126772,226433,333266
Armenia,0,0,532,1534,7216,16260,13008,5231,6578
Australia,9,16,4543,2207,436,718,9360,8539,1277
Austria,,9,10171,5272,1279,1035,3364,6308,17375
Azerbaijan,0,0,298,1506,3690,12030,14354,4557,3794
Bahamas,0,0,14,67,21,2,470,1643,1906
Bahrain,0,41,526,2473,8358,15360,14224,10990,18892
Bangladesh,0,0,51,7616,39486,98330,92178,75335,50483
Barbados,0,0,34,47,11,5,13,64,16
